Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,1.42929172621762E-17,0.0279238800911216,2.10503937914057E-17,0,0,0,1.01233115660444,0.00127851826321163,-3.25593266727571E-20,-2.05554382219427E-19,0.00330201153266579,-5.49569053241694E-20,0.00254994453490086,0,0,0,0,0,0,package://4dof_2nd/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://4dof_2nd/meshes/base.STL,,base_urd-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,6.98379577508529E-08,0.00839921203566613,-0.00011619558777941,0,0,0,0.109719412381612,4.04026836034197E-05,-1.24783674052978E-10,-1.4819993412198E-10,5.74445778942386E-05,-1.44657703020893E-07,3.7937379436841E-05,0,0,0,0,0,0,package://4dof_2nd/meshes/L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4dof_2nd/meshes/L1.STL,,motor_brackets-1;LX-224 Servo-2,Origin_base_L1,Axis_base_L1,base_L1,fixed,0,0,0.06806,1.5707963267949,0,1.5707963267949,base,0,0,0,,,,,,,,,,,,
L2,-0.00129647999078647,-0.00118465769340787,0.0566012443608822,0,0,0,0.170654706462391,0.000109933926735269,-4.20384262034178E-09,-1.33080338442296E-07,0.000175937920346225,-3.35596637163169E-07,8.88608038466973E-05,0,0,0,0,0,0,package://4dof_2nd/meshes/L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4dof_2nd/meshes/L2.STL,,arm2-2;LX-224 Servo-7;BackHub-1;FrontHub-2,Origin_L1_L2,Axis_L1_L2,L1_L2,continuous,0,0.04,0,1.5707963267949,-1.5707963267949,0,L1,1,0,0,,,,,,,,,,,,
L3,-0.00189647999078301,-0.00118488379204321,0.0566015314351151,0,0,0,0.170654706462391,0.000109933926735617,-4.23764182070938E-09,-1.33037424077722E-07,0.000175937861381518,-3.35582049385204E-07,8.88608628117516E-05,0,0,0,0,0,0,package://4dof_2nd/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4dof_2nd/meshes/L3.STL,,arm2-1;LX-224 Servo-4;FrontHub-7;BackHub-6,Origin_L2_L3,Axis_L2_L3,L2_L3,continuous,0,0,0.125,0,0,0,L2,1,0,0,,,,,,,,,,,,
L4,0.00116245884397085,2.34172468517022E-07,0.0277339006086252,0,0,0,0.0325264957149247,1.01555656643839E-05,-8.10498518271107E-12,8.02258623945075E-08,1.80812385427838E-05,1.35894772223515E-11,1.0414449972661E-05,0,0,0,0,0,0,package://4dof_2nd/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4dof_2nd/meshes/L4.STL,,end_effector2-2;BackHub-3;FrontHub-4,Origin_L3_L4,Axis_L3_L4,L3_L4,continuous,0,0,0.125,0,0,3.14159265358979,L3,1,0,0,,,,,,,,,,,,
